"Code
CIO",Drapeau/pays,"ISO 3166-1
alpha-3"
AFG,Afghanistan,AFG
ALB,Albanie,ALB
ALG,Algérie (1968–),DZA
AND,Andorre,AND
ANG,Angola,AGO
ANT,Antigua-et-Barbuda,ATG
ARG,Argentine (1952–),ARG
ARM,Arménie,ARM
ARU,Aruba,ABW
ASA,Samoa américaines,ASM
AUS,Australie (1952–),AUS
AUT,Autriche (1952–),AUT
AZE,Azerbaïdjan,AZE
BAH,Bahamas,BHS
BAN,Bangladesh,BGD
BAR,Barbade (1968–),BRB
BDI,Burundi,BDI
BEL,Belgique (1952–),BEL
BEN,Bénin (1984–),BEN
BER,Bermudes,BMU
BHU,Bhoutan,BTN
BIH,Bosnie-Herzégovine,BIH
BIZ,Belize (1976–),BLZ
BLR,Biélorussie (1996–),BLR
BOL,Bolivie,BOL
BOT,Botswana,BWA
BRA,Brésil,BRA
BRN,Bahreïn,BHR
BRU,Brunei,BRN
BUL,Bulgarie,BGR
BUR,Burkina Faso,BFA
CAF,République centrafricaine,CAF
CAM,Cambodge,KHM
CAN,Canada,CAN
CAY,Îles Caïmans  Îles Caïmans,CYM
CGO,République du Congo,COG
CHA,Tchad,TCD
CHI,Chili,CHL
CHN,"Chine, République populaire de",CHN
CIV,Côte d'Ivoire,CIV
CMR,Cameroun,CMR
COD,République démocratique du Congo,COD
COK,Îles Cook,COK
COL,Colombie,COL
COM,Comores,COM
COR,Corée unifiée,COR
CPV,Cap-Vert,CPV
CRC,Costa Rica,CRI
CRO,Croatie,HRV
CUB,Cuba,CUB
CYP,Chypre,CYP
CZE,Tchéquie,CZE
DEN,Danemark,DNK
DJI,Djibouti,DJI
DMA,Dominique,DMA
DOM,République dominicaine,DOM
ECU,Équateur,ECU
EGY,Égypte,EGY
ERI,Érythrée,ERI
ESA,Salvador,SLV
ESP,Espagne,ESP
EST,Estonie,EST
ETH,Éthiopie,ETH
FIJ,Fidji,FJI
FIN,Finlande,FIN
FRA,France,FRA
FSM,États fédérés de Micronésie,FSM
GAB,Gabon,GAB
GAM,Gambie,GMB
GBR,Grande-Bretagne,GBR
GBS,Guinée-Bissau,GNB
GEO,Géorgie,GEO
GEQ,Guinée équatoriale,GNQ
GER,Allemagne,DEU
GHA,Ghana,GHA
GRE,Grèce,GRC
GRN,Grenade,GRD
GUA,Guatemala,GTM
GUI,Guinée,GIN
GUM,Guam,GUM
GUY,Guyana,GUY
HAI,Haïti,HTI
HKG,Hong Kong,HKG
HON,Honduras,HND
HUN,Hongrie,HUN
INA,Indonésie,IDN
IND,Inde,IND
IRI,Iran  Iran,IRN
IRL,Irlande,IRL
IRQ,Irak,IRQ
ISL,Islande,ISL
ISR,Israël,ISR
ISV,Îles Vierges des États-Unis,VIR
ITA,Italie,ITA
IVB,Îles Vierges britanniques,VGB
JAM,Jamaïque,JAM
JOR,Jordanie,JOR
JPN,Japon,JPN
KAZ,Kazakhstan,KAZ
KEN,Kenya,KEN
KGZ,Kirghizistan,KGZ
KIR,Kiribati,KIR
KOS,Kosovo, XXK
KOR,Corée du Sud,KOR
KSA,Arabie saoudite,SAU
KUW,Koweït,KWT
LAO,Laos (République démocratique populaire lao),LAO
LAT,Lettonie,LVA
LBA,Libye,LBY
LBN,Liban,LBN
LBR,Liberia,LBR
LCA,Sainte-Lucie,LCA
LES,Lesotho,LSO
LIE,Liechtenstein,LIE
LTU,Lituanie,LTU
LUX,Luxembourg,LUX
MAD,Madagascar,MDG
MAR,Maroc,MAR
MAS,Malaisie,MYS
MAW,Malawi,MWI
MDA,Moldavie,MDA
MDV,Maldives,MDV
MEX,Mexique,MEX
MGL,Mongolie,MNG
MHL,Îles Marshall,MHL
MKD,Macédoine du Nord,MKD
MLI,Mali,MLI
MLT,Malte,MLT
MNE,Monténégro,MNE
MON,Monaco,MCO
MOZ,Mozambique,MOZ
MRI,Maurice,MUS
MTN,Mauritanie,MRT
MYA,Birmanie (Myanmar),MMR
NAM,Namibie,NAM
NCA,Nicaragua,NIC
NED,Pays-Bas,NLD
